iter	Passed	Remaining
0	0	42
1	0	34
2	1	32
3	1	30
4	1	29
5	1	29
6	2	29
7	2	28
8	2	27
9	3	27
10	3	26
11	3	25
12	3	25
13	4	25
14	4	24
15	4	24
16	4	23
17	5	23
18	5	22
19	5	22
20	6	22
21	6	22
22	6	22
23	7	22
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	12	17
41	12	16
42	13	17
43	13	17
44	13	16
45	13	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	27	3
89	27	3
90	27	2
91	28	2
92	28	2
93	28	1
94	28	1
95	29	1
96	29	0
97	29	0
98	29	0
99	30	0
