iter	Passed	Remaining
0	2	2060
1	2	1193
2	2	897
3	3	751
4	3	654
5	3	589
6	3	541
7	4	504
8	4	479
9	4	462
10	4	448
11	5	440
12	5	425
13	5	413
14	6	406
15	6	398
16	6	392
17	7	392
18	7	387
19	7	387
20	8	383
21	8	379
22	9	385
23	9	383
24	9	380
25	10	377
26	10	374
27	10	372
28	11	370
29	11	366
30	11	363
31	12	365
32	12	363
33	12	361
34	12	358
35	13	361
36	13	362
37	14	359
38	14	356
39	14	354
40	15	351
41	15	348
42	15	347
43	15	347
44	16	345
45	16	343
46	16	342
47	17	340
48	17	338
49	17	338
50	18	336
51	18	335
52	18	335
53	19	336
54	19	335
55	19	333
56	20	332
57	20	330
58	20	329
59	20	328
60	21	327
61	21	325
62	21	325
63	22	324
64	22	325
65	23	325
66	23	324
67	23	323
68	23	322
69	24	321
70	24	320
71	24	318
72	25	317
73	25	316
74	25	315
75	25	314
76	26	313
77	26	311
78	26	310
79	26	310
80	27	309
81	27	308
82	27	305
83	27	304
84	28	303
85	28	302
86	28	301
87	28	300
88	29	299
89	29	297
90	29	297
91	30	296
92	30	296
93	30	295
94	31	296
95	31	295
96	31	295
97	32	295
98	32	295
99	32	294
100	33	293
101	33	293
102	33	292
103	34	292
104	34	292
105	34	291
106	34	291
107	35	290
108	35	290
109	35	290
110	36	289
111	36	289
112	36	288
113	37	288
114	37	287
115	37	287
116	37	286
117	38	285
118	38	284
119	38	284
120	39	283
121	39	282
122	39	281
123	39	281
124	40	281
125	40	281
126	40	280
127	41	279
128	41	279
129	41	279
130	42	279
131	42	279
132	42	278
133	43	278
134	43	277
135	43	277
136	43	276
137	44	276
138	44	275
139	44	276
140	45	275
141	45	274
142	45	273
143	45	273
144	46	272
145	46	272
146	46	272
147	47	272
148	47	272
149	47	271
150	48	270
151	48	270
152	48	269
153	48	269
154	49	268
155	49	268
156	49	267
157	50	267
158	50	267
159	50	267
160	51	266
161	51	266
162	51	266
163	52	265
164	52	265
165	52	264
166	52	264
167	53	263
168	53	263
169	53	262
170	54	262
171	54	261
172	54	261
173	55	261
174	55	260
175	55	260
176	55	259
177	56	259
178	56	259
179	56	258
180	57	258
181	57	258
182	57	257
183	58	257
184	58	256
185	58	256
186	58	255
187	59	255
188	59	255
189	59	254
190	59	253
191	60	253
192	60	253
193	60	252
194	61	252
195	61	251
196	61	251
197	62	251
198	62	250
199	62	250
200	63	250
201	63	250
202	63	249
203	63	249
204	64	248
205	64	248
206	64	248
207	65	248
208	65	247
209	65	247
210	65	246
211	66	246
212	66	246
213	66	245
214	67	245
215	67	244
216	67	244
217	67	243
218	68	243
219	68	242
220	68	242
221	69	242
222	69	241
223	69	241
224	69	240
225	70	240
226	70	240
227	70	239
228	71	239
229	71	239
230	71	238
231	72	238
232	72	238
233	72	237
234	72	237
235	73	237
236	73	236
237	73	236
238	74	235
239	74	235
240	74	235
241	74	234
242	75	234
243	75	233
244	75	233
245	76	233
246	76	233
247	76	232
248	77	232
249	77	231
250	77	231
251	77	231
252	78	230
253	78	230
254	78	230
255	79	230
256	79	230
257	79	229
258	80	229
259	80	229
260	80	228
261	81	228
262	81	227
263	81	227
264	82	227
265	82	227
266	83	228
267	83	228
268	83	228
269	84	227
270	84	227
271	84	227
272	85	227
273	85	226
274	85	226
275	86	225
276	86	225
277	86	225
278	87	225
279	87	224
280	87	224
281	87	223
282	88	223
283	88	223
284	88	223
285	89	222
286	89	222
